,city,state
1257,Pine,SD
1258,Custer,SD
1259,Buffalo,SD
1260,Chamberlain,SD
1261,Aberdeen,SD
1262,Faith,SD
1263,Watertown,SD
1264,Brookings,SD
1265,Belle,SD
1266,Sioux,SD
1267,Huron,SD
1268,Mitchell,SD
1269,Mobridge,SD
1270,Philip,SD
1271,Pierre,SD
1272,Rapid,SD
1273,Ellsworth,SD
1274,Lemmon,SD
1275,Yankton,SD
1276,Winner,SD
1277,Sisseton,SD
1278,Somerville,TN
1279,Huntingdon,TN
1280,Paris,TN
1281,Selmer,TN
1282,Union,TN
1283,Covington,TN
1284,Bolivar,TN
1285,Lexington,TN
1286,Savannah,TN
1287,Nashville,TN
1288,Chattanooga,TN
1289,Crossville,TN
1290,Dyersburg,TN
1291,Memphis,TN
1292,Jackson,TN
1293,Smyrna,TN
1294,Millington,TN
1295,Tri-Cities,TN
1296,Knoxville,TN
1297,Oak,TN
1298,Brenham,TX
1299,Grand,TX
1300,Dryden,TX
1301,McKinney,TX
1302,Arlington,TX
1303,Corsicana,TX
1304,Terrell,TX
1305,New,TX
1306,Abilene,TX
1307,Waco,TX
1308,Dallas,TX
1309,Fort,TX
1310,Alice,TX
1311,Amarillo,TX
1312,Austin,TX
1313,Austin,TX
1314,Borger,TX
1315,Beaumont,TX
1316,Brownsville,TX
1317,Burnet,TX
1318,Childress,TX
1319,College,TX
1320,Cotulla,TX
1321,Corpus,TX
1322,Conroe,TX
1323,Dallas,TX
1324,Dallas/Ft,TX
1325,Dalhart,TX
1326,Del,TX
1327,Del,TX
1328,Denton,TX
1329,Georgetown,TX
1330,Houston,TX
1331,Houston,TX
1332,Abilene,TX
1333,Ellington,TX
1334,El,TX
1335,Sherman-Denison,TX
1336,Fort,TX
1337,Fort,TX
1338,Guadalupe,TX
1339,Longview,TX
1340,Galveston,TX
1341,Fort,TX
1342,Greenville,TX
1343,Hondo,TX
1344,Killeen/Ft,TX
1345,Houston,TX
1346,Harlingen,TX
1347,Houston,TX
1348,Killeen,TX
1349,Wink,TX
1350,Junction,TX
1351,Lubbock,TX
1352,Angleton,TX
1353,Lufkin,TX
1354,Laredo,TX
1355,Midland,TX
